"42","0","ArtificalLanguages","","1","1","0","0.736820935957898","20170225000933","20170225005100","626556798","142","wikitext",\N
"759","0","Albania/People","","13","1","0","0.318559175653904","20170218152209","20161107211734","629645149","57","wikitext",\N
"775","0","Algorithm","","7791","0","0","0.455500988713932","20170228203857","20170228203947","767565944","98558","wikitext",\N
"820","0","Afghanistan/Military","","11","1","0","0.0188113181095676","20170219231359","20161107210605","629649179","53","wikitext",\N
"903","0","Arable_land","","183","0","0","0.507611875895049","20170227145110","20170227145111","767713893","15698","wikitext",\N
"1000","0","Hercule_Poirot","","570","0","0","0.0762154302338282","20170301161146","20170301161147","768066263","64251","wikitext",\N
"1183","0","Amber_Diceless_Roleplaying_Game","","284","0","0","0.9054375727711601","20161230145458","20161230150315","704316116","19595","wikitext",\N
"1256","0","Antoninus_Pius","","657","0","0","0.115572095024932","20170224153358","20170224140823","766812409","62912","wikitext",\N
"1571","0","Alaric_II","","133","0","0","0.227116040165644","20170130135034","20170130143049","757493221","8828","wikitext",\N
"1717","0","Ambrosians","","61","0","0","0.140703102704792","20170121155517","20170121161651","743529466","7739","wikitext",\N
"1858","0","Aromatic_compound","","272","1","0","0.159512241519533","20170204181009","20170130024532","762192862","168","wikitext",\N
"1986","0","Actinophryid","","106","0","0","0.7488922260225679","20170217144031","20170217144254","764501668","3103","wikitext",\N
"2014","0","Atomic_semantics","","57","0","0","0.31487926870107596","20151101233736","20161207024303","688602991","2953","wikitext",\N
"2198","0","Abdulaziz_al-Omari","","680","0","0","0.33222705901807803","20170224023841","20170224024211","766859875","8643","wikitext",\N
"2444","0","Conservation-restoration_of_cultural_heritage","","67","0","0","0.5686736801347451","20170227142216","20170217144215","761249709","51313","wikitext",\N
"2519","0","Adelaide_of_Italy","","148","0","0","0.721045221873601","20170217144335","20170217145418","742520325","11259","wikitext",\N
"2561","0","American_political_scandals","","224","1","0","0.687183693691328","20170225155653","20150413160216","656290245","68","wikitext",\N
