"1574","Redirects_from_misspellings","26829","2","0"
"2865710","Redirects_from_moves","799588","4","8411"
"262982","Redirects_with_old_history","924","0","0"
"2","Unprintworthy_redirects","1306611","19","0"
"43940","Algorithms","146","52","0"
"185104507","Articles_containing_Persian-language_text","79250","0","0"
"407645","Articles_including_recorded_pronunciations","2249","11","0"
"204770762","Articles_with_DMOZ_links","6498","0","0"
"54278","Articles_with_example_pseudocode","133","0","0"
"196926","Mathematical_logic","182","30","0"
"246830465","Pages_using_ISBN_magic_links","365403","4","1235"
"325876","Theoretical_computer_science","125","20","0"
"141174016","Use_mdy_dates_from_June_2013","4696","0","0"
"169959383","Wikipedia_articles_with_BNF_identifiers","179781","0","0"
"169959072","Wikipedia_articles_with_GND_identifiers","213281","0","0"
"169945358","Wikipedia_articles_with_LCCN_identifiers","253997","0","0"
"465760","Agricultural_land","21","3","0"
"637643","All_articles_needing_additional_references","302584","0","0"
"142440100","Articles_needing_additional_references_from_February_2014","2143","0","0"
"116163380","Use_dmy_dates_from_July_2012","3387","0","0"
"467520","All_articles_containing_potentially_dated_statements","45050","0","0"
"12","All_articles_with_unsourced_statements","316410","0","0"
"150478200","Articles_containing_potentially_dated_statements_from_2015","2579","0","0"
"246846578","Articles_needing_additional_references_from_December_2016","4105","0","0"
"36444053","Articles_using_Infobox_character_with_multiple_unlabeled_fields","1154","0","0"
"246695276","Articles_with_Project_Gutenberg_links","11128","0","0"
"246846618","Articles_with_trivia_sections_from_December_2016","53","0","0"
"697186","Articles_with_unsourced_statements_from_February_2007","5073","0","0"
"165800309","Articles_with_unsourced_statements_from_November_2013","3434","0","0"
"38252443","British_novels_adapted_into_films","902","5","0"
"246766536","British_novels_adapted_into_plays","80","0","0"
"430457","Characters_in_British_novels_of_the_20th_century","144","10","0"
"179043199","Commons_category_with_local_link_different_than_on_Wikidata","25994","9461","0"
"27626220","Fictional_Belgian_people","100","2","0"
"246941467","Fictional_Belgian_police_officers","2","0","0"
"57408999","Fictional_characters_introduced_in_1920","11","1","0"
"246692892","Fictional_contract_bridge_players","27","0","0"
"57940666","Fictional_criminologists","17","0","0"
"244353362","Fictional_dandies","52","0","0"
"130658","Fictional_private_investigators","187","2","0"
"154517","Hercule_Poirot","13","3","3"
"154519","Hercule_Poirot_characters","12","0","0"
"246542172","Novels_adapted_into_radio_programs","41","1","0"
"246542173","Novels_adapted_into_television_programs","300","4","0"
"246542162","Novels_adapted_into_video_games","46","2","0"
"278826","Series_of_books","435","15","0"
"133520117","Use_dmy_dates_from_September_2013","12580","0","0"
"246815545","Webarchive_template_wayback_links","126091","1","72"
"212860024","Wikipedia_articles_needing_page_number_citations_from_August_2014","92","0","0"
"107710574","American_role-playing_games","13","1","0"
"184706257","Articles_with_French-language_external_links","36142","0","0"
"766524","Articles_with_unsourced_statements_from_January_2012","3308","0","0"
"128088","Fantasy_role-playing_games","225","13","0"
"246600526","Pages_using_deprecated_image_syntax","213036","0","0"
"268197","Role-playing_games_based_on_novels","26","2","0"
"223134329","Role-playing_games_introduced_in_1991","15","1","0"
"324038","The_Chronicles_of_Amber","6","2","0"
"337315","Universal_role-playing_games","55","3","0"
"8460","161_deaths","2","0","0"
"807443","2nd-century_Roman_emperors","23","10","0"
"36994","86_births","3","0","0"
"242377008","Adult_adoptees","15","1","0"
"40484","Aelii","47","0","0"
"754","All_articles_with_dead_external_links","147906","0","0"
"230946938","Antoninus_Pius","9","1","0"
"30959536","Articles_containing_Chinese-language_text","23491","12","31"
"30959577","Articles_containing_Latin-language_text","12495","0","0"
"246915255","Articles_needing_additional_references_from_February_2017","5254","0","0"
"246793504","Articles_with_dead_external_links_from_October_2016","21556","0","0"
"56428","Aurelii","60","0","0"
"235487123","Burials_at_the_Castel_Sant'Angelo","13","0","0"
"108780","Deified_Roman_emperors","38","0","0"
"164642","Imperial_Roman_consuls","603","1","0"
"164643","Imperial_Roman_praetors","19","0","0"
"110552927","Nerva–Antonine_dynasty","69","3","0"
"246617358","People_from_Lanuvio","12","0","0"
"48810855","Use_dmy_dates_from_November_2010","2757","0","0"
"73346289","Wikipedia_articles_incorporating_a_citation_from_the_1911_Encyclopaedia_Britannica_with_Wikisource_reference","12073","0","0"
"297186","Wikipedia_articles_incorporating_text_from_the_1911_Encyclopædia_Britannica","12163","0","0"
"179846798","Wikipedia_articles_with_ISNI_identifiers","205502","0","0"
"196703069","Wikipedia_articles_with_NLA_identifiers","20622","0","0"
"169959560","Wikipedia_articles_with_ULAN_identifiers","32639","0","0"
"166972075","Wikipedia_articles_with_VIAF_identifiers","415471","0","0"
"34394","507_deaths","5","0","0"
"236478174","5th-century_Gothic_people","29","0","0"
"232020740","5th-century_Spanish_monarchs","19","0","0"
"236477892","6th-century_Gothic_people","47","0","0"
"232021724","6th-century_Spanish_monarchs","17","0","0"
"387538","Ancient_child_rulers","43","1","0"
"221851894","Balti_dynasty","14","0","0"
"705647","Monarchs_killed_in_action","163","1","0"
"182552771","Visigothic_kings","39","0","0"
"296214","Year_of_birth_uncertain","6165","0","0"
"1068","Year_of_birth_unknown","20890","1","0"
"811626","All_articles_lacking_in-text_citations","86931","0","0"
"48195","Anabaptism","86","7","0"
"18099796","Articles_incorporating_text_from_the_1913_Catholic_Encyclopedia_with_Wikisource_reference","2570","0","0"
"164999718","Articles_lacking_in-text_citations_from_January_2013","4243","0","0"
"62753","Baptism","61","2","0"
"253469","Premillennialism","26","4","0"
"254663","Printworthy_redirects","277219","0","0"
"254","Redirects_from_merges","36441","4","0"
"390456","Redirects_mentioned_in_hatnotes","934","0","0"
"262983","Redirects_with_possibilities","41924","25","0"
"246911158","Wikidata_redirects","217","0","0"
"58","All_articles_lacking_sources","207059","0","0"
"47776","Amoeboids","21","0","0"
"53970","Articles_lacking_sources_from_October_2007","730","0","0"
"13638949","Articles_with_'species'_microformats","345268","0","0"
"246925384","Ochrophyta","42","4","0"
"98548","Concurrency_control","78","3","0"
"24736","1979_births","12756","0","0"
"28928","2001_deaths","5152","3","0"
"46282321","All_articles_with_specifically_marked_weasel-worded_phrases","16157","0","0"
"30959844","Articles_containing_Arabic-language_text","24215","0","0"
"54282","Articles_with_hCards","328298","1","0"
"58981105","Articles_with_specifically_marked_weasel-worded_phrases_from_September_2011","174","0","0"
"400920","Filmed_suicides","47","1","0"
"515720","Participants_in_the_September_11_attacks","22","0","0"
"274563","Saudi_Arabian_al-Qaeda_members","53","1","0"
"181492153","Saudi_Arabian_mass_murderers","25","0","0"
"53591","Art_history","178","34","0"
"487016","Articles_containing_video_clips","8223","4","0"
"184706260","Articles_with_Portuguese-language_external_links","8397","0","0"
"246634551","CS1_maint:_Multiple_names:_authors_list","29493","0","0"
"61063105","Conservation_and_restoration","143","21","0"
"103649","Cultural_heritage","188","31","0"
"246906406","Cultural_heritage_conservation","4","0","0"
"210643","Museology","102","19","0"
"246523509","Wikipedia_external_links_cleanup_from_November_2015","66","0","0"
"246523510","Wikipedia_spam_cleanup_from_November_2015","68","0","0"
"624481","10th-century_Christian_saints","90","0","0"
"785075","10th-century_female_rulers","39","0","0"
"37473","931_births","8","0","0"
"37899","999_deaths","16","0","0"
"202966600","Christian_female_saints_of_the_Middle_Ages","261","2","0"
"246565159","Christian_royal_saints","27","2","0"
"179043163","Commons_category_with_local_link_same_as_on_Wikidata","494115","203664","0"
"29735017","Duchesses_of_Saxony","20","0","0"
"3511154","Elder_House_of_Welf","22","1","0"
"138360","Frankish_saints","34","3","0"
"138361","Frankish_women","76","10","0"
"146009","German_queens_consort","82","5","0"
"158713","Holy_Roman_Empresses","44","0","0"
"171940","Italian_queens_consort","67","5","0"
"104271492","Medieval_German_saints","57","1","0"
"161967317","Ottonian_dynasty","33","2","0"
"113895788","People_from_Burgundy_(French_region)","26","11","0"
"359127","Women_of_medieval_Germany","273","4","0"
"49490","Angus","31","17","0"
"185113485","Articles_containing_Scottish_Gaelic-language_text","2754","0","0"
"54094","Articles_needing_more_detailed_references","6071","0","0"
"194992442","Coordinates_on_Wikidata","949630","0","0"
"4268340","Council_areas_of_Scotland","75","34","0"
"100917","Counties_of_Scotland","65","28","0"
"185196","Lieutenancy_areas_of_Scotland","50","16","0"
"164136924","Use_British_English_from_February_2013","1912","0","0"
"164136923","Use_dmy_dates_from_February_2013","6418","0","0"
"246668286","Wikipedia_articles_needing_page_number_citations_from_July_2016","86","0","0"
"50548","Ants","39","7","0"
"30959560","Articles_containing_Dutch-language_text","3302","0","0"
"30959666","Articles_containing_French-language_text","16874","1","0"
"30959573","Articles_containing_German-language_text","33441","2","0"
"185116362","Articles_containing_Germanic-language_text","41","0","0"
"185065834","Articles_containing_Italian-language_text","17503","0","0"
